,Name,Annual Return,Annual Std,Sharpe Ratio
AAPL,AAPL,0.27956113658473747,0.24469592696540707,1.1424838167586637
AAPL Strategy,AAPL Strategy,0.3073777164790241,0.24507479100684076,1.2542200493825753
GOOGL,GOOGL,0.1675675850480869,0.223734342088631,0.7489578197240101
GOOGL Strategy,GOOGL Strategy,0.12233480961672782,0.22387632816477482,0.5464392355349351
NFLX,NFLX,0.317882830771822,0.3915259847201558,0.8119073654818327
NFLX Strategy,NFLX Strategy,0.4035870379737636,0.39347213291246336,1.0257067889063203
AMZN,AMZN,0.3221127486680886,0.2801779268441401,1.149672111205521
AMZN Strategy,AMZN Strategy,0.44094570985435544,0.28110188848697243,1.5686330398836539
META,META,0.1904057741132048,0.2869725889804898,0.6634981229031244
META Strategy,META Strategy,0.09776572089970159,0.2875528652157062,0.33999216396735665
Portfolio Returns,Portfolio Returns,0.2526136855141412,0.22507085110801137,1.122374062525369
Portfolio Strategy,Portfolio Strategy,0.26521718718426635,0.15743653654854461,1.6845974447773004
